# 程序结构
Params
Vars
If
Else
Begin
End
For
To
DownTo
While
Break
Continue
True
False
# 数据类型
Bool	布尔型
BoolRef	布尔型引用
BoolSeries	和周期长度一致的Bool型序列值
Numeric	数值型
NumericRef	数值型引用
NumericSeries	和周期长度一致的Numeric型序列值
String	字符串
StringRef	字符串引用
StringSeries	和周期长度一致的String型序列值
# 数学函数
Abs	返回参数的绝对值
Acos	返回参数的反余弦值
Acosh	返回参数的反双曲余弦值
Asin	返回参数的反正弦值
Asinh	返回参数的反双曲正弦值
Atan	返回参数的反正切值
Atan2	返回给定的X及Y坐标值的反正切值
Atanh	返回参数的反双曲正切值
Ceiling	将参数 Number 沿绝对值增大的方向，舍入为最接近的整数或基数Significance的最小倍数
Combin	计算从给定数目的对象集合中提取若干对象的组合数
Cos	返回给定角度的余弦值
Cosh	返回参数的双曲余弦值
Ctan	返回给定角度的余切值
Even	返回沿绝对值增大方向取整后最接近的偶数
Exp	返回e的Number次幂
Fact	返回数的阶乘
Floor	将参数 Number 沿绝对值减小的方向去尾舍入，使其等于最接近的 Significance 的倍数
FracPart	返回实数舍入后的小数值
IntPart	返回实数舍入后的整数值
Ln	返回一个数的自然对数
Log	按所指定的底数，返回一个数的对数
Mod	返回两数相除的余数
Neg	返回参数的负绝对值
Odd	返回对指定数值进行舍入后的奇数
Pi	返回数字3.1415926535898
Power	返回给定数字的乘幂
Rand	返回位于两个指定数之间的一个随机数
Round	返回某个数字按指定位数舍入后的数字
RoundDown	靠近零值，向下（绝对值减小的方向）舍入数字
RoundUp	远离零值，向上（绝对值增大的方向）舍入数字
Sign	返回数字的符号
Sin	返回给定角度的正弦值
Sinh	返回某一数字的双曲正弦值
Sqr	返回参数的平方
Sqrt	返回参数的正平方根
Tan	返回给定角度的正切值
Tanh	返回某一数字的双曲正切值
# 数组函数
BoolArrayClear	布尔型数组的全部删除
BoolArrayCompare	对两个布尔型数组进行比较
BoolArrayCopy	复制布尔型数组的内容
BoolArrayEqual	检验两个布尔型数组是否相等
BoolArrayErase	布尔型数组的元素删除
BoolArrayInsert	布尔型数组的单个数据插入
BoolArrayInsertRange	布尔型数组的多个数据插入
BoolArraySort	对布尔型数组进行排序
BoolArraySwap	交换布尔型数组的内容
GetBoolArraySize	获取布尔型数组的大小
GetNumericArraySize	获取数值型数组的大小
GetStringArraySize	获取字符串数组的大小
NumericArrayClear	数值型数组的全部删除
NumericArrayCompare	对两个数值型数组进行比较
NumericArrayCopy	复制数值型数组的内容
NumericArrayEqual	检验两个数值型数组是否相等
NumericArrayErase	数值型数组的元素删除
NumericArrayInsert	数值型数组的单个数据插入
NumericArrayInsertRange	数值型数组的多个数据插入
NumericArraySort	对数值型数组进行排序
NumericArraySwap	交换数值型数组的内容
SetBoolArraySize	设置布尔型数组的大小和初始值
SetNumericArraySize	设置数值型数组的大小和初始值
SetStringArraySize	设置字符串数组的大小和初始值
StringArrayClear	字符串数组的全部删除
StringArrayCompare	对两个字符串数组进行比较
StringArrayCopy	复制字符串数组的内容
StringArrayEqual	检验两个字符串数组是否相等
StringArrayErase	字符串数组的元素删除
StringArrayInsert	字符串数组的单个数据插入
StringArrayInsertRange	字符串数组的多个数据插入
StringArraySort	对字符串数组进行排序
StringArraySwap	交换字符串数组的内容
# 字符串函数
Exact	该函数测试两个字符串是否完全相同
Left	返回文本串的前lCount位
Len	返回文本串中的字符数
Lower	将一个文字串中的所有大写字母转换为小写字母
Mid	返回文本串的后lCount位
Right	返回文本串的从lFirst开始的lCount位
Text	将参数中的数字转化为字符串
Trim	除了文本两边所有的空格
Upper	将一个文字串中的所有小写字母转换为大写字母
Value	将代表数字的文字串转换成数字
# 颜色函数
Black	返回黑色的RGB值
Blue	返回蓝色的RGB值
Cyan	返回青色的RGB值
DarkBrown	返回茶色的RGB值
DarkCyan	返回深青色的RGB值
DarkGray	返回深灰色的RGB值
DarkGreen	返回深绿色的RGB值
DarkMagenta	返回深褐色的RGB值
DarkRed	返回深红色的RGB值
DefaultColor	返回默认颜色值
Green	返回绿色的RGB值
LightGray	返回浅灰色的RGB值
Magenta	返回紫红色的RGB值
Red	返回红色的RGB值
Rgb	返回自定义颜色值
White	返回白色的RGB值
Yellow	返回黄色的RGB值
# 时间函数
CurrentDate	获取交易开拓者平台的当前日期
CurrentTime	获取交易开拓者平台的当前时间
DateAdd	返回已添加指定天数的日期
DateDiff	返回两个日期之间的天数间隔
DateTimeToString	将日期时间值转化为字符串类型
DateToString	将日期值转化为字符串类型
Day	获得当前Bar的日信息
DayFromDateTime	获取输入日期时间的日信息
Friday	获得星期五的值
Hour	获得当前Bar的小时信息
HourFromDateTime	获取输入日期时间的小时信息
MakeDate	将参数生成日期值
MakeDateTime	将参数生成日期时间值
MakeTime	将参数生成时间值
MilliSecond	获得当前Bar的毫秒信息
MilliSecondFromDateTime	获取输入日期时间的毫秒信息
Minute	获得当前Bar的分钟信息
MinuteFromDateTime	获取输入日期时间的分钟信息
Monday	获得星期一的值
Month	获得当前Bar的月信息
MonthFromDateTime	获取输入日期时间的月信息
Saturday	获得星期六的值
Second	获得当前Bar的秒信息
SecondFromDateTime	获取输入日期时间的秒信息
StringToDate	将字符串转化为日期
StringToDateTime	将字符串转化为日期时间
StringToTime	将字符串转化为时间
Sunday	获得星期日的值
SystemDateTime	获取交易开拓者平台的当前日期时间
Thursday	获得星期四的值
TimeDiff	返回两个时间之间的间隔秒数，忽略日期差异
TimeToString	将时间值转化为字符串类型
Tuesday	获得星期二的值
Wednesday	获得星期三的值
Weekday	获得当前Bar的周信息
WeekdayFromDateTime	获取输入日期时间的周信息
Year	获得当前Bar的年信息
YearFromDateTime	获取输入日期时间的年信息
# 数据函数
BarCount	当前公式应用商品数据的Bar总数
BarStatus	当前公式应用商品当前Bar的状态值
C	当前公式应用商品在当前Bar的收盘价
Close	当前公式应用商品在当前Bar的收盘价
CurrentBar	当前公式应用商品在当前Bar的索引值
D	当前公式应用商品在当前Bar的日期
DataSourceSize	获取数据源的个数
Date	当前公式应用商品在当前Bar的日期
H	当前公式应用商品在当前Bar的最高价
High	当前公式应用商品在当前Bar的最高价
HistoryDataExist	当前公式应用商品的历史数据是否有效
L	当前公式应用商品在当前Bar的最低价
